"Theta [deg]","dB(rETotal) [] - Freq='25GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.5GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.9GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.95GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='26GHz' Phi='90.0000000000002deg'"
89,17.5954954911422,17.6763088577731,17.8040045086054,17.8214597792705,17.8374534456211
90,17.2613495290351,17.468027968319,17.5863337250984,17.594256241749,17.6014209548326
91,16.9964002703403,17.2022207704734,17.3066569410284,17.327264306368,17.3493940765601
92,16.7173153152573,16.8888528833692,17.1018854215904,17.1241449068712,17.1437404896405
93,16.357277116464,16.6509957382988,16.7563978572055,16.7638878482713,16.7726434794672
94,16.0910612687491,16.2536298236071,16.3827961892055,16.4164184875937,16.4527634141861
95,15.7188334588964,15.8438244740709,16.1542860807265,16.1853108076008,16.2126286335138
96,15.2388545948739,15.6113571888551,15.7740650940864,15.7901821130612,15.8098447890692
97,14.9899985935843,15.221640174588,15.4308396100541,15.4781380975076,15.5273588411709
98,14.7045246021924,14.8463495827016,15.157564876584,15.173151170033,15.1813348829245
99,14.2907663868569,14.5988096826469,14.5416400249953,14.5251144878182,14.5153566063894
100,14.0902619555921,14.0516617496246,14.0700872732876,14.1193220663059,14.1767706927121
101,13.7954732043622,13.590767107589,13.9734580066796,14.0104625321811,14.0406426248337
102,13.3439541789406,13.5544353158399,13.6093475939045,13.5960231962226,13.5856181731068
103,13.2993433935419,13.3243311670044,13.2052201666721,13.2136121075035,13.2265716222492
104,13.3620024461882,13.0130745884637,12.996988143841,12.9830517097009,12.9660989038981
105,13.1922501313573,12.9543181177826,12.6982433386817,12.6731800526074,12.6592376688255
106,13.2119709810358,12.8157503822902,12.672764431697,12.6929646983002,12.7155459690762
107,13.3350819816779,12.8276140921691,12.8284464968472,12.7924087222878,12.7454285034686
108,13.3439646266652,13.1420609177199,12.670424929108,12.5923102773089,12.5239852985529
109,13.620924967525,13.1970645329741,12.7115329982288,12.7049797933062,12.7077786832522
110,13.9731605316467,13.2075837586186,13.1296653098618,13.1093046598064,13.0780357205932
111,14.0237767523095,13.622221311249,13.3333777622491,13.2599735167607,13.1852666800637
112,14.1911283315852,13.9736983309293,13.477342777721,13.4254894916574,13.3770577824777
113,14.6199127972409,14.1380956878507,13.7585630557157,13.7032298805582,13.6427129139694
114,14.889364131414,14.3945342372804,13.945356586203,13.8814675851855,13.8208461233831
115,15.0579384117231,14.5997788412756,14.2139764318685,14.1854878329511,14.157376596898
116,15.2757301449624,14.7815922908189,14.5795832340162,14.5355525758456,14.4829556094456
117,15.4041707857186,15.1106807925293,14.7672895188683,14.7074856263148,14.6507467537674
118,15.5523658091085,15.3371308125522,14.9764728617926,14.9535972482132,14.9321292807139
119,15.8088101025449,15.4426329963723,15.263022473982,15.2258353800865,15.1785106290784
120,15.946036089154,15.6562944835123,15.3484766836419,15.288246791232,15.2315619308683
121,15.9891937801873,15.7947805093179,15.4398585198486,15.4332290664276,15.4355856291324
122,16.1107808113912,15.771591567273,15.7317409931097,15.7409204624941,15.7409811943522
123,16.161221966381,15.881836742491,15.8847558534912,15.8501354597263,15.8085354356956
124,16.0757437194128,16.0680858018152,15.852515774143,15.824887310449,15.8032627119166
125,16.0779246634759,16.0619860458605,15.9130591784596,15.9183106643185,15.9228411464064
126,16.1525104421438,15.9908181469751,16.0086353086304,16.0036235923436,15.9929190850715
127,16.0903162815789,16.0198221500711,15.9892347960572,15.9744084871277,15.9585933119048
128,15.9503235743819,16.0130477129271,15.9184347800812,15.9051898857621,15.8877646903822
